Date,Adj Close,Close,High,Low,Open,Volume
07/11/2019,3216.63,4070.0,4150.0,3990.0,4150.0,125.291.200
08/11/2019,3248.24,4110.0,4120.0,3990.0,4010.0,70.404.800
11/11/2019,3240.34,4100.0,4120.0,4040.0,4040.0,57.079.800
12/11/2019,3303.57,4180.0,4190.0,4050.0,4050.0,88.251.100
13/11/2019,3279.86,4150.0,4170.0,4100.0,4130.0,91.925.700
14/11/2019,3200.82,4050.0,4130.0,4010.0,4110.0,123.468.500
15/11/2019,3224.53,4080.0,4090.0,4030.0,4080.0,50.780.500
18/11/2019,3161.31,4000.0,4060.0,3990.0,4040.0,104.978.700
19/11/2019,3177.11,4020.0,4020.0,3970.0,4000.0,113.996.600
20/11/2019,3232.44,4090.0,4090.0,4000.0,4000.0,149.185.500
21/11/2019,3177.11,4020.0,4090.0,4020.0,4050.0,64.005.900
22/11/2019,3200.82,4050.0,4050.0,4000.0,4030.0,76.569.400
25/11/2019,3121.79,3950.0,4070.0,3940.0,4070.0,107.581.200
26/11/2019,3050.66,3860.0,3960.0,3860.0,3950.0,281.002.600
27/11/2019,3066.47,3880.0,3930.0,3800.0,3870.0,97.511.300
28/11/2019,3019.05,3820.0,3900.0,3800.0,3830.0,70.635.000
29/11/2019,3105.98,3930.0,3950.0,3840.0,3860.0,72.146.900
02/12/2019,3121.79,3950.0,3960.0,3930.0,3960.0,74.263.500
03/12/2019,3098.08,3920.0,3940.0,3910.0,3920.0,74.494.000
04/12/2019,3153.4,3990.0,3990.0,3900.0,3920.0,64.948.300
05/12/2019,3208.73,4060.0,4080.0,3990.0,3990.0,118.494.800
06/12/2019,3240.34,4100.0,4100.0,4020.0,4040.0,50.682.100
09/12/2019,3216.63,4070.0,4110.0,4050.0,4080.0,80.864.200
10/12/2019,3192.92,4040.0,4070.0,4010.0,4050.0,54.824.900
11/12/2019,3200.82,4050.0,4050.0,4000.0,4010.0,79.749.500
12/12/2019,3121.79,3950.0,4050.0,3950.0,4040.0,147.627.000
13/12/2019,3153.4,3990.0,4020.0,3960.0,4000.0,81.937.300
16/12/2019,3137.6,3970.0,4020.0,3960.0,3970.0,86.479.200
17/12/2019,3145.5,3980.0,3990.0,3950.0,3970.0,91.747.200
18/12/2019,3153.4,3990.0,4000.0,3950.0,3960.0,101.569.300
19/12/2019,3082.27,3900.0,3980.0,3900.0,3970.0,127.316.000
20/12/2019,3177.11,4020.0,4020.0,3900.0,3900.0,152.132.200
23/12/2019,3177.11,4020.0,4030.0,3980.0,4020.0,58.715.700
26/12/2019,3161.31,4000.0,4020.0,3980.0,4020.0,36.935.300
27/12/2019,3153.4,3990.0,4010.0,3980.0,3990.0,52.812.000
30/12/2019,3137.6,3970.0,4030.0,3970.0,3980.0,67.738.300
02/01/2020,3090.18,3910.0,4000.0,3900.0,3970.0,52.094.000
03/01/2020,3145.5,3980.0,3980.0,3930.0,3960.0,70.032.900
06/01/2020,3129.69,3960.0,3970.0,3930.0,3930.0,42.908.900
07/01/2020,3113.89,3940.0,3970.0,3920.0,3930.0,51.837.600
08/01/2020,3082.27,3900.0,3950.0,3900.0,3920.0,52.402.600
09/01/2020,3129.69,3960.0,3970.0,3920.0,3920.0,37.580.300
10/01/2020,3145.5,3980.0,3990.0,3950.0,3980.0,48.099.000
13/01/2020,3185.02,4030.0,4030.0,3990.0,4000.0,61.913.800
14/01/2020,3121.79,3950.0,4000.0,3940.0,3980.0,95.058.600
15/01/2020,3066.47,3880.0,3960.0,3870.0,3960.0,147.583.300
16/01/2020,3042.76,3850.0,3890.0,3830.0,3890.0,118.903.100
17/01/2020,3011.15,3810.0,3870.0,3800.0,3860.0,119.904.100
20/01/2020,3011.15,3810.0,3840.0,3800.0,3820.0,73.599.200
21/01/2020,3074.37,3890.0,3900.0,3810.0,3810.0,78.014.400
22/01/2020,3050.66,3860.0,3890.0,3850.0,3890.0,45.839.800
23/01/2020,3066.47,3880.0,3880.0,3830.0,3860.0,41.077.400
24/01/2020,3098.08,3920.0,3930.0,3860.0,3880.0,58.524.000
27/01/2020,3034.86,3840.0,3920.0,3830.0,3920.0,33.081.800
28/01/2020,3026.95,3830.0,3840.0,3800.0,3810.0,56.210.000
29/01/2020,3082.27,3900.0,3900.0,3840.0,3840.0,51.929.800
30/01/2020,3050.66,3860.0,3910.0,3850.0,3910.0,60.391.600
31/01/2020,3003.24,3800.0,3890.0,3780.0,3890.0,120.447.900
03/02/2020,2955.82,3740.0,3820.0,3730.0,3800.0,68.360.600
04/02/2020,2971.63,3760.0,3810.0,3730.0,3810.0,77.259.600
05/02/2020,2979.53,3770.0,3780.0,3720.0,3760.0,68.150.800
06/02/2020,2971.63,3760.0,3800.0,3750.0,3800.0,56.261.500
07/02/2020,2995.34,3790.0,3820.0,3760.0,3780.0,53.578.900
10/02/2020,3011.15,3810.0,3850.0,3780.0,3800.0,86.588.500
11/02/2020,2995.34,3790.0,3830.0,3780.0,3810.0,50.248.200
12/02/2020,3019.05,3820.0,3850.0,3780.0,3800.0,73.840.300
13/02/2020,2947.92,3730.0,3830.0,3710.0,3820.0,66.699.800
14/02/2020,2876.79,3640.0,3730.0,3640.0,3680.0,108.793.300
17/02/2020,2853.08,3610.0,3660.0,3590.0,3630.0,94.887.800
18/02/2020,2860.98,3620.0,3660.0,3590.0,3590.0,94.382.900
19/02/2020,2860.98,3620.0,3640.0,3590.0,3620.0,63.717.800
20/02/2020,2868.89,3630.0,3650.0,3600.0,3620.0,53.035.400
21/02/2020,2916.31,3690.0,3710.0,3640.0,3650.0,86.862.600
24/02/2020,2876.79,3640.0,3720.0,3630.0,3670.0,72.610.600
25/02/2020,2837.27,3590.0,3670.0,3590.0,3600.0,73.990.700
26/02/2020,2774.05,3510.0,3550.0,3450.0,3530.0,133.449.900
27/02/2020,2742.43,3470.0,3550.0,3420.0,3510.0,88.389.400
28/02/2020,2758.24,3490.0,3490.0,3340.0,3390.0,151.751.800
02/03/2020,2718.72,3440.0,3550.0,3440.0,3470.0,96.802.900
03/03/2020,2860.98,3620.0,3660.0,3470.0,3510.0,114.698.200
04/03/2020,3026.95,3830.0,3840.0,3630.0,3640.0,136.081.000
05/03/2020,3026.95,3830.0,3880.0,3760.0,3820.0,101.235.000
06/03/2020,2963.73,3750.0,3790.0,3710.0,3730.0,86.476.000
09/03/2020,2766.14,3500.0,3620.0,3500.0,3560.0,109.347.300
10/03/2020,2758.24,3490.0,3620.0,3480.0,3480.0,119.718.000
11/03/2020,2687.11,3400.0,3480.0,3370.0,3470.0,115.486.900
12/03/2020,2615.98,3310.0,3440.0,3270.0,3300.0,84.363.800
13/03/2020,2615.98,3310.0,3310.0,3310.0,3310.0,0
16/03/2020,2497.43,3160.0,3300.0,3160.0,3300.0,115.972.300
17/03/2020,2323.56,2940.0,3160.0,2940.0,3160.0,150.122.700
18/03/2020,2220.82,2810.0,3080.0,2740.0,3010.0,150.147.300
19/03/2020,2070.66,2620.0,2810.0,2620.0,2810.0,138.987.300
